Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,36J,Bradford District & Craven,B83626,Valley View Surgery (B83626),6517,68.0%,10015,3200,10087,99.3%,32.0%,31.7%
North East and Yorkshire,36J,Bradford District & Craven,B83627,Frizinghall Medical Centre (B83627),3710,73.5%,4620,798,7398,62.4%,17.3%,10.8%
North East and Yorkshire,36J,Bradford District & Craven,B83628,Clarendon Medical Centre (B83628),9379,75.9%,13690,5933,13820,99.1%,43.3%,42.9%
North East and Yorkshire,36J,Bradford District & Craven,B83629,Peel Park Surgery (B83629),3058,75.7%,4987,1309,5075,98.3%,26.2%,25.8%
North East and Yorkshire,36J,Bradford District & Craven,B83641,Ashwell Medical Centre (B83641),8193,78.2%,12418,281,12498,99.4%,2.3%,2.2%
North East and Yorkshire,36J,Bradford District & Craven,B83642,The City Medical Practice (B83642),3760,87.4%,6907,1182,6922,99.8%,17.1%,17.1%
North East and Yorkshire,36J,Bradford District & Craven,B83653,Dr Gilkar (B83653),8620,77.6%,14677,1926,14712,99.8%,13.1%,13.1%
North East and Yorkshire,36J,Bradford District & Craven,B83657,Bevan Healthcare Cic (B83657),5868,66.2%,7786,416,7805,99.8%,5.3%,5.3%
North East and Yorkshire,36J,Bradford District & Craven,B83659,Park Grange Medical Centre (B83659),3548,83.5%,5421,485,5466,99.2%,8.9%,8.9%
North East and Yorkshire,36J,Bradford District & Craven,B83660,Bilton Medical Centre (B83660),6118,76.4%,13537,3875,13633,99.3%,28.6%,28.4%
North East and Yorkshire,36J,Bradford District & Craven,B83661,Moor Park Medical Practice (B83661),2978,86.3%,3954,276,4016,98.5%,7.0%,6.9%
North East and Yorkshire,02T,Calderdale,B84001,Station Road Surgery (B84001),10151,83.7%,15305,5975,15368,99.6%,39.0%,38.9%
North East and Yorkshire,02T,Calderdale,B84003,Rydings Hall Surgery (B84003),8101,79.2%,14667,4482,15030,97.6%,30.6%,29.8%
North East and Yorkshire,02T,Calderdale,B84004,Hebden Bridge Group Practice (B84004),18603,80.5%,28577,6762,28690,99.6%,23.7%,23.6%
North East and Yorkshire,02T,Calderdale,B84005,Rosegarth Surgery (B84005),9958,81.3%,19071,9085,19133,99.7%,47.6%,47.5%
North East and Yorkshire,02T,Calderdale,B84006,Todmorden Group Practice (B84006),13287,79.4%,23771,2467,23828,99.8%,10.4%,10.4%
North East and Yorkshire,02T,Calderdale,B84007,Brig Royd Surgery (B84007),10532,80.8%,12599,3647,12658,99.5%,28.9%,28.8%
North East and Yorkshire,02T,Calderdale,B84008,Dr Chin And Partners (B84008),15677,87.3%,26766,10543,26841,99.7%,39.4%,39.3%
North East and Yorkshire,02T,Calderdale,B84009,Stainland Road Medical Centre (B84009),11529,78.0%,18507,4612,18582,99.6%,24.9%,24.8%
North East and Yorkshire,02T,Calderdale,B84010,Keighley Road Surgery (B84010),10709,83.2%,18224,2718,18234,99.9%,14.9%,14.9%
North East and Yorkshire,02T,Calderdale,B84011,Church Lane Surgery (B84011),11385,76.2%,24940,6410,26834,92.9%,25.7%,23.9%
North East and Yorkshire,02T,Calderdale,B84012,Spring Hall Group Practice (B84012),19644,81.4%,34526,22824,34550,99.9%,66.1%,66.1%
North East and Yorkshire,02T,Calderdale,B84013,Plane Trees Group Practice (B84013),8815,80.5%,20240,7422,20425,99.1%,36.7%,36.3%
North East and Yorkshire,02T,Calderdale,B84014,Rastrick Health Centre (B84014),5075,75.7%,8476,1416,8525,99.4%,16.7%,16.6%
North East and Yorkshire,02T,Calderdale,B84016,Bankfield Surgery (B84016),10809,83.5%,23450,11957,23478,99.9%,51.0%,50.9%
North East and Yorkshire,02T,Calderdale,B84019,The Boulevard Medical Practice (B84019),15612,82.5%,31422,12613,31519,99.7%,40.1%,40.0%
North East and Yorkshire,02T,Calderdale,B84021,King Cross Practice (B84021),8727,79.4%,16375,5539,16442,99.6%,33.8%,33.7%
North East and Yorkshire,02T,Calderdale,B84612,Lister Lane Surgery (B84612),8861,80.7%,15477,9842,15526,99.7%,63.6%,63.4%
North East and Yorkshire,02T,Calderdale,B84613,Beechwood Medical Centre (B84613),9378,79.5%,16254,5166,16332,99.5%,31.8%,31.6%
North East and Yorkshire,02T,Calderdale,B84618,Caritas Group Practice (B84618),8791,86.2%,19256,7266,19423,99.1%,37.7%,37.4%
North East and Yorkshire,02T,Calderdale,B84623,Longroyde Surgery (B84623),4648,86.3%,7419,320,7556,98.2%,4.3%,4.2%
North East and Yorkshire,X2C4Y,Kirklees,B85001,Parkview Surgery (B85001),7345,76.1%,12356,2757,12434,99.4%,22.3%,22.2%
North East and Yorkshire,X2C4Y,Kirklees,B85002,Dearne Valley Health Centre (B85002),4421,87.5%,6952,1655,7038,98.8%,23.8%,23.5%
North East and Yorkshire,X2C4Y,Kirklees,B85004,Calder View Surgery (B85004),5818,80.6%,9559,2535,9593,99.6%,26.5%,26.4%
North East and Yorkshire,X2C4Y,Kirklees,B85005,Shepley Health Centre (B85005),6685,71.9%,9673,1713,10838,89.3%,17.7%,15.8%
North East and Yorkshire,X2C4Y,Kirklees,B85006,Elmwood Family Doctors (B85006),14843,100.0%,20172,5231,20221,99.8%,25.9%,25.9%
North East and Yorkshire,X2C4Y,Kirklees,B85008,Batley Health Centre Surgery (B85008),5938,87.4%,9298,3214,9433,98.6%,34.6%,34.1%
North East and Yorkshire,X2C4Y,Kirklees,B85009,"North Road Suite,Ravensthorpe Health Ctr (B85009)",8610,84.3%,16747,8463,16800,99.7%,50.5%,50.4%
North East and Yorkshire,X2C4Y,Kirklees,B85010,Dalton Surgery (B85010),6670,83.1%,11496,4427,11823,97.2%,38.5%,37.4%
North East and Yorkshire,X2C4Y,Kirklees,B85012,Undercliffe Surgery (B85012),10844,83.6%,22558,10081,22973,98.2%,44.7%,43.9%
North East and Yorkshire,X2C4Y,Kirklees,B85014,Brookroyd House (B85014),9579,86.1%,23596,7165,23713,99.5%,30.4%,30.2%
North East and Yorkshire,X2C4Y,Kirklees,B85015,Wellington House (B85015),8909,87.4%,19388,3866,19468,99.6%,19.9%,19.9%
North East and Yorkshire,X2C4Y,Kirklees,B85016,Meltham Road Surgery (B85016),10298,87.1%,15638,2745,15703,99.6%,17.6%,17.5%
North East and Yorkshire,X2C4Y,Kirklees,B85018,Grove House Surgery (B85018),9222,82.6%,17496,7585,17550,99.7%,43.4%,43.2%
North East and Yorkshire,X2C4Y,Kirklees,B85019,Mirfield Health Centre (B85019),17416,85.3%,28535,13490,28589,99.8%,47.3%,47.2%
North East and Yorkshire,X2C4Y,Kirklees,B85020,Eightlands Surgery (B85020),6842,83.0%,15995,11363,16049,99.7%,71.0%,70.8%
North East and Yorkshire,X2C4Y,Kirklees,B85021,Cleckheaton Group Practice (B85021),9249,76.8%,19557,6156,19611,99.7%,31.5%,31.4%
North East and Yorkshire,X2C4Y,Kirklees,B85022,Honley Surgery (B85022),7762,85.0%,13230,5053,13580,97.4%,38.2%,37.2%
North East and Yorkshire,X2C4Y,Kirklees,B85023,The Almondbury Surgery (B85023),6349,78.0%,10182,2558,10273,99.1%,25.1%,24.9%
North East and Yorkshire,X2C4Y,Kirklees,B85024,The Waterloo Practice (B85024),9668,83.7%,21504,8960,21530,99.9%,41.7%,41.6%
North East and Yorkshire,X2C4Y,Kirklees,B85025,Blackburn Rd.Medical Ctr. (B85025),12173,82.7%,17732,3615,17743,99.9%,20.4%,20.4%
North East and Yorkshire,X2C4Y,Kirklees,B85026,Kirkburton Health Centre (B85026),8079,83.7%,12862,3570,13005,98.9%,27.8%,27.5%
North East and Yorkshire,X2C4Y,Kirklees,B85027,The Lindley Group Pract. (B85027),10754,76.7%,13063,3283,13180,99.1%,25.1%,24.9%
North East and Yorkshire,X2C4Y,Kirklees,B85028,The Grange Medical Practice (B85028),15732,76.4%,33347,11714,33494,99.6%,35.1%,35.0%
North East and Yorkshire,X2C4Y,Kirklees,B85030,The Greenway Medical Practice (B85030),8589,82.5%,15297,3336,15412,99.3%,21.8%,21.6%
North East and Yorkshire,X2C4Y,Kirklees,B85031,Lepton And Kirkheaton Surgeries (B85031),6764,80.8%,10879,3178,10915,99.7%,29.2%,29.1%
North East and Yorkshire,X2C4Y,Kirklees,B85032,Meltham Group Practice (B85032),6366,74.6%,8832,438,9031,97.8%,5.0%,4.8%
North East and Yorkshire,X2C4Y,Kirklees,B85033,The Lindley Village Surg. (B85033),5364,82.5%,7407,2309,7448,99.4%,31.2%,31.0%
North East and Yorkshire,X2C4Y,Kirklees,B85036,New Street & Netherton Group Practice (B85036),7824,89.8%,13527,3345,13644,99.1%,24.7%,24.5%
North East and Yorkshire,X2C4Y,Kirklees,B85037,Newsome Surgery (B85037),6040,80.3%,9174,2054,9278,98.9%,22.4%,22.1%
North East and Yorkshire,X2C4Y,Kirklees,B85038,The Paddock Surgery (B85038),5683,84.1%,13309,3833,13359,99.6%,28.8%,28.7%
North East and Yorkshire,X2C4Y,Kirklees,B85041,Mount Pleasant Med Centre (B85041),15545,83.5%,24653,6797,24864,99.2%,27.6%,27.3%
North East and Yorkshire,X2C4Y,Kirklees,B85042,Paddock And Longwood Family Practice (B85042),8715,81.1%,13608,2694,13646,99.7%,19.8%,19.7%
North East and Yorkshire,X2C4Y,Kirklees,B85044,Thornton Lodge Surgery (B85044),2908,79.4%,3549,256,3572,99.4%,7.2%,7.2%
North East and Yorkshire,X2C4Y,Kirklees,B85048,Woodhouse Hill Surgery (B85048),3981,81.7%,7368,2832,7389,99.7%,38.4%,38.3%
North East and Yorkshire,X2C4Y,Kirklees,B85051,Fieldhead Surgery (B85051),8039,82.1%,13856,5075,13928,99.5%,36.6%,36.4%
North East and Yorkshire,X2C4Y,Kirklees,B85054,Colne Valley Group Practice (B85054),9912,83.1%,21609,7441,21748,99.4%,34.4%,34.2%
North East and Yorkshire,X2C4Y,Kirklees,B85055,Healds Road Surgery (B85055),11655,88.2%,23264,10651,23334,99.7%,45.8%,45.6%
North East and Yorkshire,X2C4Y,Kirklees,B85058,Rose Medical Practice (B85058),2742,69.1%,5170,2331,5172,100.0%,45.1%,45.1%
North East and Yorkshire,X2C4Y,Kirklees,B85059,Slaithwaite Health Centre (B85059),7463,85.3%,10561,3180,10662,99.1%,30.1%,29.8%
North East and Yorkshire,X2C4Y,Kirklees,B85060,Greenhead Family Doctors (B85060),2412,84.7%,5701,2592,5716,99.7%,45.5%,45.3%
North East and Yorkshire,X2C4Y,Kirklees,B85061,Skelmanthorpe Family Doctors (B85061),9316,86.2%,15213,2241,15285,99.5%,14.7%,14.7%
North East and Yorkshire,X2C4Y,Kirklees,B85062,University Health Centre (B85062),15274,39.9%,2633,190,2661,98.9%,7.2%,7.1%
North East and Yorkshire,X2C4Y,Kirklees,B85606,Thornhill Lees Medical Centre (B85606),4713,89.3%,11113,3530,11678,95.2%,31.8%,30.2%
North East and Yorkshire,X2C4Y,Kirklees,B85610,Oaklands Health Centre (B85610),10569,62.6%,13025,3841,15267,85.3%,29.5%,25.2%
North East and Yorkshire,X2C4Y,Kirklees,B85611,Dr Handa & Partner (B85611),3839,83.3%,9122,4275,9125,100.0%,46.9%,46.8%
North East and Yorkshire,X2C4Y,Kirklees,B85612,Liversedge Medical Centre (B85612),3981,84.2%,8717,2861,8790,99.2%,32.8%,32.5%
North East and Yorkshire,X2C4Y,Kirklees,B85614,Croft Medical Centre (B85614),6489,81.1%,11042,2562,11114,99.4%,23.2%,23.1%
North East and Yorkshire,X2C4Y,Kirklees,B85619,Cook Lane Surgery (B85619),2943,84.4%,6808,2299,6823,99.8%,33.8%,33.7%
North East and Yorkshire,X2C4Y,Kirklees,B85620,Windsor Medical Centre (B85620),2354,81.1%,4698,2081,4706,99.8%,44.3%,44.2%
North East and Yorkshire,X2C4Y,Kirklees,B85622,Broughton House Surgery (B85622),,,23,0,23,100.0%,0.0%,0.0%
North East and Yorkshire,X2C4Y,Kirklees,B85623,Marsh Surgery (B85623),3221,81.2%,5952,2051,5960,99.9%,34.5%,34.4%
North East and Yorkshire,X2C4Y,Kirklees,B85634,Birkby Health Centre (B85634),3535,78.9%,6175,2676,6184,99.9%,43.3%,43.3%
North East and Yorkshire,X2C4Y,Kirklees,B85636,Westbourne Surgery (B85636),4098,87.8%,5659,1070,5696,99.4%,18.9%,18.8%
North East and Yorkshire,X2C4Y,Kirklees,B85640,Kirkgate Surgery (B85640),3267,80.8%,5198,543,5256,98.9%,10.4%,10.3%
North East and Yorkshire,X2C4Y,Kirklees,B85641,Lockwood Surgery (B85641),4458,87.6%,8927,2082,9004,99.1%,23.3%,23.1%
North East and Yorkshire,X2C4Y,Kirklees,B85645,Savile Town Medical Ctr. (B85645),2564,92.7%,4052,2413,4074,99.5%,59.6%,59.2%
North East and Yorkshire,X2C4Y,Kirklees,B85646,The Albion Mount Medical Practice (B85646),6175,78.4%,12476,5220,12594,99.1%,41.8%,41.4%
North East and Yorkshire,X2C4Y,Kirklees,B85650,Dr Mahmood & Partners (B85650),4614,70.5%,5129,1519,5191,98.8%,29.6%,29.3%
North East and Yorkshire,X2C4Y,Kirklees,B85652,Sidings Healthcare Centre (B85652),7676,86.4%,12861,4461,12943,99.4%,34.7%,34.5%
North East and Yorkshire,X2C4Y,Kirklees,B85655,Cherry Tree Surgery (B85655),2480,89.1%,5636,8,5704,98.8%,0.1%,0.1%
North East and Yorkshire,X2C4Y,Kirklees,B85659,The Whitehouse Centre (B85659),1827,65.0%,2210,1178,2224,99.4%,53.3%,53.0%
North East and Yorkshire,X2C4Y,Kirklees,B85660,The Junction Surgery (B85660),6260,75.4%,10423,2514,11120,93.7%,24.1%,22.6%
North East and Yorkshire,15F,Leeds,B86001,Dr N Saddiq'S Practice (B86001),2433,81.3%,3942,116,3977,99.1%,2.9%,2.9%
North East and Yorkshire,15F,Leeds,B86002,City View Medical Practice (B86002),14911,71.9%,19283,13,19353,99.6%,0.1%,0.1%
North East and Yorkshire,15F,Leeds,B86003,Dr G Lees & Partners (B86003),16730,74.5%,25939,1599,27287,95.1%,6.2%,5.9%
North East and Yorkshire,15F,Leeds,B86004,Highfield Surgery (B86004),8174,89.2%,11174,891,11178,100.0%,8.0%,8.0%
North East and Yorkshire,15F,Leeds,B86005,Dr N Dumphy & Partners (B86005),5570,78.1%,8211,127,8259,99.4%,1.5%,1.5%
North East and Yorkshire,15F,Leeds,B86006,Dr L Freeman & Partners (B86006),15233,86.0%,19219,1399,19281,99.7%,7.3%,7.3%
North East and Yorkshire,15F,Leeds,B86007,Windmill Health Centre (B86007),8835,84.3%,21186,6628,21328,99.3%,31.3%,31.1%
North East and Yorkshire,15F,Leeds,B86008,Alwoodley Medical Centre (B86008),19466,83.2%,30416,8992,30650,99.2%,29.6%,29.3%
North East and Yorkshire,15F,Leeds,B86009,Manston Surgery (B86009),8227,73.2%,10850,1719,12716,85.3%,15.8%,13.5%
North East and Yorkshire,15F,Leeds,B86010,Collingham Church View Surgery (B86010),9845,35.3%,7249,363,16918,42.8%,5.0%,2.1%
North East and Yorkshire,15F,Leeds,B86011,Hillfoot Surgery (B86011),7131,82.3%,11563,528,11794,98.0%,4.6%,4.5%
North East and Yorkshire,15F,Leeds,B86012,Leeds City Medical Practice (B86012),19027,77.7%,23436,1829,23451,99.9%,7.8%,7.8%
North East and Yorkshire,15F,Leeds,B86013,The North Leeds Medical Practice (B86013),21079,70.0%,23134,6830,23268,99.4%,29.5%,29.4%
North East and Yorkshire,15F,Leeds,B86014,Robin Lane Health And Wellbeing Centre (B86014),13150,81.6%,21790,2854,21867,99.6%,13.1%,13.1%
North East and Yorkshire,15F,Leeds,B86015,Manor Park Surgery (B86015),14089,83.7%,29069,11090,29174,99.6%,38.2%,38.0%
North East and Yorkshire,15F,Leeds,B86016,Shaftesbury Medical Ctr. (B86016),17961,84.5%,30297,2093,30401,99.7%,6.9%,6.9%
North East and Yorkshire,15F,Leeds,B86017,Craven Road Medical Practice (B86017),16408,72.1%,20911,7325,21083,99.2%,35.0%,34.7%
North East and Yorkshire,15F,Leeds,B86018,Mulberry Street Medical Practice (B86018),7633,81.6%,9392,4,12426,75.6%,0.0%,0.0%
North East and Yorkshire,15F,Leeds,B86019,Rutland Lodge Medical Centre (B86019),9417,73.9%,11156,2503,11232,99.3%,22.4%,22.3%
North East and Yorkshire,15F,Leeds,B86020,Lofthouse Surgery (B86020),11156,87.3%,15679,3635,15778,99.4%,23.2%,23.0%
North East and Yorkshire,15F,Leeds,B86022,Oakwood Lane Medical Practice (B86022),14009,79.5%,21437,6251,21546,99.5%,29.2%,29.0%
North East and Yorkshire,15F,Leeds,B86024,Priory View Medical Centre (B86024),9072,74.6%,20162,8329,21340,94.5%,41.3%,39.0%
North East and Yorkshire,15F,Leeds,B86025,Hyde Park Surgery (B86025),11363,65.3%,13430,5320,13436,100.0%,39.6%,39.6%
North East and Yorkshire,15F,Leeds,B86028,Dr Jj Mcpeakes Practice (B86028),5114,79.1%,9956,3477,10233,97.3%,34.9%,34.0%
North East and Yorkshire,15F,Leeds,B86029,Westgate Surgery (B86029),5682,81.6%,7335,1555,7336,100.0%,21.2%,21.2%
North East and Yorkshire,15F,Leeds,B86030,Burton Croft Surgery (B86030),11818,77.6%,12745,3932,12945,98.5%,30.9%,30.4%
North East and Yorkshire,15F,Leeds,B86032,Chevin Medical Practice (B86032),18910,86.7%,27171,4363,27201,99.9%,16.1%,16.0%
North East and Yorkshire,15F,Leeds,B86033,New Medical Centre (B86033),11846,80.3%,21217,869,21636,98.1%,4.1%,4.0%
North East and Yorkshire,15F,Leeds,B86034,Spa Surgery (B86034),6695,82.0%,8518,91,11141,76.5%,1.1%,0.8%
North East and Yorkshire,15F,Leeds,B86035,South Bank Surgery (B86035),9397,83.4%,16713,1815,16987,98.4%,10.9%,10.7%
North East and Yorkshire,15F,Leeds,B86036,Gibson Lane Practice (B86036),11392,81.2%,15693,267,16476,95.2%,1.7%,1.6%
North East and Yorkshire,15F,Leeds,B86038,Guiseley And Yeadon Medical Practice (B86038),12057,83.9%,14559,2048,14593,99.8%,14.1%,14.0%
North East and Yorkshire,15F,Leeds,B86039,Allerton Medical Centre (B86039),9834,70.5%,14513,5107,14587,99.5%,35.2%,35.0%
North East and Yorkshire,15F,Leeds,B86041,Vesper Road (B86041),7670,79.3%,9592,1459,9664,99.3%,15.2%,15.1%
North East and Yorkshire,15F,Leeds,B86042,Lingwell Croft Surgery (B86042),14966,85.4%,25548,3579,25656,99.6%,14.0%,13.9%
North East and Yorkshire,15F,Leeds,B86043,East Park Medical Centre (B86043),9199,83.9%,15775,1023,15808,99.8%,6.5%,6.5%
North East and Yorkshire,15F,Leeds,B86044,Ireland Wood Surgery (B86044),26919,77.0%,28586,944,30956,92.3%,3.3%,3.0%
North East and Yorkshire,15F,Leeds,B86048,Garforth Medical Centre (B86048),14145,64.3%,22898,6744,30102,76.1%,29.5%,22.4%
North East and Yorkshire,15F,Leeds,B86049,Woodhouse Medical Practice (B86049),9876,78.2%,12708,5806,12735,99.8%,45.7%,45.6%
North East and Yorkshire,15F,Leeds,B86050,West Lodge Surgery (B86050),20001,84.8%,31340,128,31503,99.5%,0.4%,0.4%
North East and Yorkshire,15F,Leeds,B86051,Aire Valley Surgery (B86051),14526,82.2%,15848,2115,15873,99.8%,13.3%,13.3%
North East and Yorkshire,15F,Leeds,B86052,Park Road & Menston (B86052),11056,85.5%,13723,1,13756,99.8%,0.0%,0.0%
North East and Yorkshire,15F,Leeds,B86054,The Garden Surgery (B86054),6304,93.4%,14721,61,14745,99.8%,0.4%,0.4%
North East and Yorkshire,15F,Leeds,B86055,Ashfield Medical Centre (B86055),6436,74.6%,12141,2727,12339,98.4%,22.5%,22.1%
North East and Yorkshire,15F,Leeds,B86056,Shadwell Medical Centre (B86056),4246,77.2%,5973,1651,6151,97.1%,27.6%,26.8%
North East and Yorkshire,15F,Leeds,B86057,Windsor House Group Practice (B86057),18468,83.7%,30710,5700,30772,99.8%,18.6%,18.5%
North East and Yorkshire,15F,Leeds,B86058,Dr Kw Mcgechaen & Partner (B86058),3848,78.6%,5874,12,5907,99.4%,0.2%,0.2%
North East and Yorkshire,15F,Leeds,B86059,Meanwood Health Centre (B86059),15647,76.6%,26553,10995,27177,97.7%,41.4%,40.5%
North East and Yorkshire,15F,Leeds,B86060,Thornton Medical Centre (B86060),10124,74.8%,13878,0,13989,99.2%,0.0%,0.0%
North East and Yorkshire,15F,Leeds,B86061,Harehills Corner Surgery (B86061),4875,58.2%,6177,0,8660,71.3%,0.0%,0.0%
North East and Yorkshire,15F,Leeds,B86062,The Medical Centre (B86062),8411,79.9%,17308,27,17320,99.9%,0.2%,0.2%
North East and Yorkshire,15F,Leeds,B86064,Leigh View Medical Practice (B86064),16388,74.8%,22654,6160,23584,96.1%,27.2%,26.1%
North East and Yorkshire,15F,Leeds,B86066,The Street Lane Practice (B86066),13911,78.7%,16634,3578,16647,99.9%,21.5%,21.5%
North East and Yorkshire,15F,Leeds,B86067,The Dekeyser Group Practice (B86067),15043,82.7%,27242,8052,27269,99.9%,29.6%,29.5%
North East and Yorkshire,15F,Leeds,B86068,Abbey Grange Medical Practice (B86068),7734,75.0%,13878,2251,13983,99.2%,16.2%,16.1%
North East and Yorkshire,15F,Leeds,B86069,Burley Park Medical Centre (B86069),13323,68.1%,13288,4980,13514,98.3%,37.5%,36.9%
North East and Yorkshire,15F,Leeds,B86070,Aireborough Family Practice (B86070),4405,81.8%,8509,1,8605,98.9%,0.0%,0.0%
North East and Yorkshire,15F,Leeds,B86071,Whitehall Surgery (B86071),8741,72.7%,10542,47,10636,99.1%,0.4%,0.4%
North East and Yorkshire,15F,Leeds,B86075,Dr T P Fox & Partners (B86075),12957,78.9%,25891,1840,25920,99.9%,7.1%,7.1%
North East and Yorkshire,15F,Leeds,B86081,Bellbrooke Surgery (B86081),14723,62.7%,23632,7727,24596,96.1%,32.7%,31.4%
North East and Yorkshire,15F,Leeds,B86086,Laurel Bank Surgery (B86086),7427,71.7%,7340,2637,7479,98.1%,35.9%,35.3%
North East and Yorkshire,15F,Leeds,B86089,Nova Scotia Medical Cntr (B86089),5878,88.0%,9184,95,9318,98.6%,1.0%,1.0%
North East and Yorkshire,15F,Leeds,B86092,Kippax Hall Surgery (B86092),6624,90.8%,13086,3070,13127,99.7%,23.5%,23.4%
North East and Yorkshire,15F,Leeds,B86093,Park Edge Practice (B86093),5694,74.0%,8549,13,8647,98.9%,0.2%,0.2%
North East and Yorkshire,15F,Leeds,B86094,Dr S M Chen & Partner (B86094),4825,79.8%,7718,1935,7751,99.6%,25.1%,25.0%
North East and Yorkshire,15F,Leeds,B86096,Arthington Medical Centre (B86096),5380,78.6%,9400,551,9427,99.7%,5.9%,5.8%
North East and Yorkshire,15F,Leeds,B86100,St Martins Practice (B86100),7587,76.5%,11348,4087,11532,98.4%,36.0%,35.4%
